,Calories,Total_Fat,Total_Carbs,Protein,Saturated_Fat,Dietary_Fiber,Calcium,Total_Sugars,Iron,Cholesterol,Vitamin_D,Potassium,Sodium,Item_Type
quarter-pounder-with-cheese-meal,1050.0,41.0,141.0,35.0,14.0,6.0,207.0,66.0,5.0,95.0,0.0,1100.0,1455.0,NULL
double-quarter-pounder-with-cheese-meal,1260.0,57.0,140.0,53.0,22.0,7.0,225.0,63.0,7.0,165.0,0.0,1330.0,1685.0,NULL
crispy-chicken-sandwich-meal,990.0,35.0,140.0,31.0,7.0,5.0,47.0,60.0,3.0,70.0,0.0,1090.0,1500.0,NULL
spicy-crispy-chicken-sandwich-meal,980.0,41.0,122.0,33.0,6.0,6.0,60.0,38.0,3.5,65.0,0.0,1150.0,1600.0,NULL
deluxe-crispy-chicken-sandwich-meal,1050.0,41.0,142.0,32.0,6.0,6.0,47.0,61.0,3.5,65.0,0.0,1160.0,1410.0,NULL
chicken-mcnuggets-10-piece-meal,530.0,15.0,99.0,5.0,2.0,4.0,17.0,56.0,1.0,0.0,0.0,680.0,315.0,NULL
filet-o-fish-meal,910.0,34.0,133.0,21.0,6.0,6.0,77.0,56.0,3.0,40.0,0.0,970.0,940.0,NULL
egg-mcmuffin-meal,450.0,21.0,49.0,21.0,7.0,4.0,186.0,3.0,3.5,250.0,2.0,630.0,1100.0,NULL
sausage-mcmuffin-with-egg-meal,620.0,39.0,49.0,24.0,13.0,4.0,186.0,2.0,3.5,280.0,4.0,690.0,1160.0,NULL
sausage-biscuit-with-egg-meal,670.0,43.0,57.0,21.0,16.0,4.0,126.0,3.0,4.0,225.0,0.0,690.0,1520.0,NULL
bacon-egg-cheese-biscuit-meal,600.0,34.0,58.0,21.0,14.0,4.0,196.0,3.0,3.5,215.0,0.0,670.0,1660.0,NULL
bacon-egg-cheese-mcgriddles-meal,570.0,29.0,63.0,21.0,10.0,4.0,206.0,15.0,3.5,215.0,0.0,650.0,1560.0,NULL
sausage-egg-cheese-mcgriddles-meal,690.0,41.0,63.0,23.0,14.0,4.0,206.0,15.0,3.5,235.0,0.0,700.0,1620.0,NULL
sausage-mcgriddles-meal,570.0,32.0,60.0,15.0,10.0,4.0,96.0,14.0,3.0,35.0,0.0,610.0,1320.0,NULL
sausage-burrito-meal,450.0,25.0,44.0,17.0,8.0,3.0,156.0,2.0,3.0,170.0,0.0,600.0,1130.0,NULL
hamburger-happy-meal,475.0,16.0,62.0,22.0,5.5,2.0,296.0,20.0,3.5,40.0,2.0,815.0,680.0,NULL
4-piece-chicken-mcnuggets-happy-meal,225.0,7.0,31.0,10.0,2.0,1.0,276.0,14.0,0.5,10.0,2.0,615.0,170.0,NULL
6-piece-chicken-mcnuggets-happy-meal,475.0,22.0,46.0,24.0,4.5,2.0,286.0,14.0,1.0,50.0,2.0,835.0,670.0,NULL
